origin_id,origin_x,origin_y,destination_id,destination_x,destination_y,route_instructions
a24r0,547558.0,1331116.0,a6r1,545184.0,1332714.0,"[7, 3, 0, 3, 7, 0, 3, 5, 5]"
a39r1,545947.1865386876,1332659.6370670423,a6r1,545184.0,1332714.0,"[3, 3, 5, 5]"
a36r0,548838.0324175665,1331302.013516861,a6r1,545184.0,1332714.0,"[7, 3, 3, 5, 0, 0, 3, 5, 5]"
a8r1,546237.0,1332732.0,a6r1,545184.0,1332714.0,"[6, 6, 7, 0, 3, 5, 5]"
a34r0,546295.5248551389,1330699.0127550354,a31r1,548506.8043478262,1332575.0,"[2, 0, 0, 2, 2]"
a17r0,548378.875,1330685.7209595963,a31r1,548506.8043478262,1332575.0,"[5, 3, 0, 0, 2, 2]"
a32r1,548470.1161675743,1332583.577471612,a31r1,548506.8043478262,1332575.0,[2]
a1r1,545217.2698675498,1332642.4980132452,a31r1,548506.8043478262,1332575.0,"[4, 2, 1, 4, 2, 2, 2]"
a24r0,547558.0,1331116.0,a31r1,548506.8043478262,1332575.0,"[7, 3, 0, 2, 2]"
a35r0,548357.4184328839,1330736.1969348688,a13r0,545153.5,1330138.00390625,"[3, 3, 5, 7, 1]"
a3r1,545962.1798056157,1332642.0199784017,a13r0,545153.5,1330138.00390625,"[5, 3, 1, 1, 7, 1]"
a15r0,546279.0,1330658.9814757747,a13r0,545153.5,1330138.00390625,"[0, 5, 7, 1]"
a26r2,548700.0,1332475.677419355,a13r0,545153.5,1330138.00390625,"[6, 1, 7, 3, 3, 5, 7, 1]"
a5r1,545964.1050372064,1332687.7894485786,a13r0,545153.5,1330138.00390625,"[7, 3, 1, 1, 7, 1]"
a26r2,548700.0,1332475.677419355,a1r1,545217.2698675498,1332642.4980132452,"[6, 1, 7, 3, 3, 5, 0, 0, 3, 7]"
a25r0,547524.3349056605,1331096.278301887,a1r1,545217.2698675498,1332642.4980132452,"[3, 0, 3, 7, 0, 3, 7]"
a38r1,545232.1884979304,1332659.7787601028,a1r1,545217.2698675498,1332642.4980132452,[7]
a23r0,544946.6865942029,1330289.675111033,a1r1,545217.2698675498,1332642.4980132452,"[6, 2, 4, 0, 0, 3, 7]"
a40r0,545107.9912057455,1330164.2196130906,a1r1,545217.2698675498,1332642.4980132452,"[2, 4, 0, 0, 3, 7]"
a33r1,546288.544564873,1332614.554657809,a7r1,545215.0876068376,1332688.1662393163,"[7, 0, 3, 5]"
a24r0,547558.0,1331116.0,a7r1,545215.0876068376,1332688.1662393163,"[7, 3, 0, 3, 7, 0, 3, 5]"
a16r0,548415.0,1330600.0,a7r1,545215.0876068376,1332688.1662393163,"[5, 5, 3, 3, 5, 0, 0, 3, 5]"
a5r1,545964.1050372064,1332687.7894485786,a7r1,545215.0876068376,1332688.1662393163,"[7, 3, 3, 5]"
a45r0,547360.9702058504,1331033.3234019503,a7r1,545215.0876068376,1332688.1662393163,"[0, 3, 7, 0, 3, 5]"
a0r1,545175.0,1332624.0,a42r1,547338.698041558,1332533.2713725318,"[4, 4, 2, 1, 4, 2]"
a9r1,546273.2142857142,1332648.6123051257,a42r1,547338.698041558,1332533.2713725318,"[6, 2]"
a25r0,547524.3349056605,1331096.278301887,a42r1,547338.698041558,1332533.2713725318,"[3, 0]"
a17r0,548378.875,1330685.7209595963,a42r1,547338.698041558,1332533.2713725318,"[5, 3, 0, 0]"
a24r0,547558.0,1331116.0,a42r1,547338.698041558,1332533.2713725318,"[7, 3, 0]"
