Model,Mean Reward,Std Reward,Complexity_of_Environment
KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",0.75
EHX_Average-Regular_Approach1_548395.005982906_1184505.7505982905.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
NPP_Average-Regular_Approach1_545483.4387151967_1429530.6903873077.z8,"[-1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
AT_Average-Regular_Approach1_546603.8974585026_1054854.2159204248.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,"[-1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -2.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.75
ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,"[25.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -2.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, -2.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
DAQ_Average-Regular_Approach1_546850.8286071356_1134942.4249786977.z8,"[-1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -2.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,"[-1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, 24.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,"[-1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, -1.0, -1.0, -2.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, 25.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, 25.0, -1.0, 25.0, -1.0, 25.0, 25.0, 25.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, 25.0, -1.0, -1.0, 25.0, -1.0, -1.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0
XMA_Average-Regular_Approach2_529658.7557274033_1674563.3385288818.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",1.0
NWW_Average-Regular_Approach1_552208.0_1442824.0.z8,"[25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 25.0, 24.0, 24.0, 25.0, 25.0, 25.0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1, 1]",1.0
